movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
83770,On the Road,2012.0,312.0,5.5,7.323283,"['Adventure', 'Drama']","{'+cemetery+': 1, '+colorado+': 1, '+denver+': 1, '+fast+': 1, '+friendship+': 1, '+funeral+': 1, '+high+': 1, '+low+': 1, '+marijuana+': 1, '+narrator+': 1, '+nudity+': 1, '+pace+': 1, '+photograph+': 1, '+portrait+': 1, '+search+': 1, '+snow+': 1, '+song+': 1, '+typewriter+': 1, '+writer+': 1, '2010_till_now': 1, 'actorgarretthedlund': 1, 'actorkristenstewart': 1, 'actorsamriley': 1, 'based+on+novel': 1, 'beat+generation': 1, 'cigarette+smoking': 1, 'composergustavosantaolalla': 1, 'directorwaltersalles': 1, 'genreadventure': 1, 'genredrama': 1, 'on+the+road': 1, 'producercharlesgillibert': 1, 'producernathanaelkarmitz': 1, 'road+movie': 1, 'road+trip': 1, 'runtime_above_110': 1, 'screenplayjoserivera': 1, 'sex+scene': 1, 'suicide+thoughts': 1, 'voice+over': 1}",1.0000000000000004
248933,The Dark Valley,2014.0,113.0,7.1,5.617232,"['Western', 'Drama']","{'+high+': 1, '2010_till_now': 1, 'actorsamriley': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.17251638983558856
291351,The Sea of Trees,2016.0,133.0,6.3,8.316558,['Drama'],"{'+funeral+': 1, '+search+': 1, '2010_till_now': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.17251638983558856
111839,Hemingway & Gellhorn,2012.0,40.0,6.1,8.19882,"['TV Movie', 'Drama', 'Romance']","{'+nudity+': 1, '+writer+': 1, '2010_till_now': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.16854996561581048
382501,Eternity,2016.0,36.0,5.4,7.88175,"['Drama', 'Romance']","{'2010_till_now': 1, 'based+on+novel': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.1632993161855452
246860,Clouds of Sils Maria,2014.0,267.0,6.7,8.151346,['Drama'],"{'2010_till_now': 1, 'actorkristenstewart': 1, 'genredrama': 1, 'producercharlesgillibert': 1, 'runtime_above_110': 1}",0.16137430609197573
313,Snow Cake,2006.0,51.0,7.3,11.556057,"['Romance', 'Drama']","{'+friendship+': 1, '+funeral+': 1, '+high+': 1, '+snow+': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.15811388300841897
9584,Convoy,1978.0,78.0,6.1,4.925738,"['Action', 'Comedy', 'Drama']","{'+marijuana+': 1, '+nudity+': 1, '+song+': 1, 'genredrama': 1, 'road+trip': 1, 'runtime_above_110': 1}",0.1559625734730109
365942,The Space Between Us,2017.0,564.0,7.2,11.824404,"['Romance', 'Adventure', 'Science Fiction', 'Drama']","{'+search+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.15504341823651058
245859,God Help the Girl,2014.0,98.0,6.8,6.684283,"['Comedy', 'Drama', 'Music']","{'+high+': 1, '+low+': 1, '2010_till_now': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.15214515486254615
59468,The Way,2010.0,166.0,7.2,7.131032,"['Adventure', 'Comedy', 'Drama']","{'+search+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genredrama': 1, 'road+trip': 1, 'runtime_above_110': 1}",0.15191090506255
