movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
83770,On the Road,2012.0,312.0,5.5,7.323283,"['Adventure', 'Drama']","{'+cemetery+': 1, '+colorado+': 1, '+denver+': 1, '+fast+': 1, '+friendship+': 1, '+funeral+': 1, '+high+': 1, '+low+': 1, '+marijuana+': 1, '+narrator+': 1, '+nudity+': 1, '+pace+': 1, '+photograph+': 1, '+portrait+': 1, '+search+': 1, '+snow+': 1, '+song+': 1, '+typewriter+': 1, '+writer+': 1, '2010_till_now': 1, 'actorgarretthedlund': 1, 'actorkristenstewart': 1, 'actorsamriley': 1, 'based+on+novel': 1, 'beat+generation': 1, 'cigarette+smoking': 1, 'composergustavosantaolalla': 1, 'directorwaltersalles': 1, 'genreadventure': 1, 'genredrama': 1, 'on+the+road': 1, 'producercharlesgillibert': 1, 'producernathanaelkarmitz': 1, 'road+movie': 1, 'road+trip': 1, 'runtime_above_110': 1, 'screenplayjoserivera': 1, 'sex+scene': 1, 'suicide+thoughts': 1, 'voice+over': 1}",40.0
23160,Werckmeister Harmonies,2000.0,61.0,7.4,7.970312,['Drama'],"{'+nudity+': 1, '+search+': 1, '+snow+': 1, 'based+on+novel': 1, 'cigarette+smoking': 1, 'genredrama': 1, 'runtime_above_110': 1}",7.0
309242,Mississippi Grind,2015.0,137.0,5.9,6.054981,['Drama'],"{'+friendship+': 1, '+high+': 1, '+low+': 1, '2010_till_now': 1, 'genredrama': 1, 'road+movie': 1, 'road+trip': 1}",7.0
313,Snow Cake,2006.0,51.0,7.3,11.556057,"['Romance', 'Drama']","{'+friendship+': 1, '+funeral+': 1, '+high+': 1, '+snow+': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
9584,Convoy,1978.0,78.0,6.1,4.925738,"['Action', 'Comedy', 'Drama']","{'+marijuana+': 1, '+nudity+': 1, '+song+': 1, 'genredrama': 1, 'road+trip': 1, 'runtime_above_110': 1}",6.0
17130,Crossroads,2002.0,161.0,4.7,6.6313559999999985,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Music', 'Romance']","{'+friendship+': 1, '+song+': 1, 'genreadventure': 1, 'genredrama': 1, 'on+the+road': 1, 'road+trip': 1}",6.0
24021,The Twilight Saga: Eclipse,2010.0,2382.0,5.9,34.047399,"['Adventure', 'Fantasy', 'Drama', 'Romance']","{'+friendship+': 1, '2010_till_now': 1, 'actorkristenstewart': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
28468,The Key,1983.0,65.0,5.0,21.079551,"['Romance', 'Drama']","{'+funeral+': 1, '+nudity+': 1, '+photograph+': 1, 'based+on+novel': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
58595,Snow White and the Huntsman,2012.0,3183.0,5.8,18.751554,"['Adventure', 'Fantasy', 'Drama']","{'+snow+': 1, '2010_till_now': 1, 'actorkristenstewart': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
59468,The Way,2010.0,166.0,7.2,7.131032,"['Adventure', 'Comedy', 'Drama']","{'+search+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genredrama': 1, 'road+trip': 1, 'runtime_above_110': 1}",6.0
281957,The Revenant,2015.0,6558.0,7.3,23.501228,"['Western', 'Drama', 'Adventure', 'Thriller']","{'+snow+': 1, '2010_till_now': 1, 'based+on+novel': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
