movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
83770,On the Road,2012.0,312.0,5.5,7.323283,"['Adventure', 'Drama']","{'+cemetery+': 2.344, '+colorado+': 2.344, '+denver+': 2.344, '+fast+': 2.344, '+friendship+': 2.344, '+funeral+': 2.344, '+high+': 2.344, '+low+': 2.344, '+marijuana+': 2.344, '+narrator+': 2.344, '+nudity+': 2.344, '+pace+': 2.344, '+photograph+': 2.344, '+portrait+': 2.344, '+search+': 2.344, '+snow+': 2.344, '+song+': 2.344, '+typewriter+': 2.344, '+writer+': 2.344, '2010_till_now': 2.0, 'actorGarrettHedlund': 1.986, 'actorKristenStewart': 1.986, 'actorSamRiley': 1.986, 'based+on+novel': 2.344, 'beat+generation': 2.344, 'cigarette+smoking': 2.344, 'composerGustavoSantaolalla': 1.072, 'directorWalterSalles': 2.19, 'genreAdventure': 2.497, 'genreDrama': 2.497, 'on+the+road': 2.344, 'producerCharlesGillibert': 0.927, 'producerNathanaëlKarmitz': 0.927, 'road+movie': 2.344, 'road+trip': 2.344, 'runtime_above_110': 1.0, 'screenplayJoséRivera': 0.955, 'sex+scene': 2.344, 'suicide+thoughts': 2.344, 'voice+over': 2.344}",1.0000000000000004
309242,Mississippi Grind,2015.0,137.0,5.9,6.054981,['Drama'],"{'+friendship+': 1.527, '+high+': 1.527, '+low+': 1.527, '2010_till_now': 2.0, 'genreDrama': 4.994, 'road+movie': 1.527, 'road+trip': 1.527}",0.2051052893128812
15366,American Gun,2005.0,13.0,5.4,5.16295,['Drama'],"{'+high+': 5.47, '+portrait+': 5.47, 'genreDrama': 4.994, 'on+the+road': 5.47}",0.18162771853487092
340485,American Honey,2016.0,213.0,6.5,7.781789999999999,['Drama'],"{'+marijuana+': 2.263, '2010_till_now': 2.0, 'genreDrama': 4.994, 'road+movie': 2.263, 'road+trip': 2.263, 'runtime_above_110': 1.0}",0.17184657744006063
313,Snow Cake,2006.0,51.0,7.3,11.556057,"['Romance', 'Drama']","{'+friendship+': 3.126, '+funeral+': 3.126, '+high+': 3.126, '+snow+': 3.126, 'genreDrama': 2.497, 'runtime_above_110': 1.0}",0.16958127652419572
296025,Safelight,2015.0,35.0,6.3,8.64958,['Drama'],"{'+photograph+': 7.293, '2010_till_now': 2.0, 'genreDrama': 4.994, 'road+trip': 7.293}",0.1592887509592828
23160,Werckmeister Harmonies,2000.0,61.0,7.4,7.970312,['Drama'],"{'+nudity+': 0.353, '+search+': 0.353, '+snow+': 0.353, 'based+on+novel': 0.353, 'cigarette+smoking': 0.353, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.15364191419834516
291351,The Sea of Trees,2016.0,133.0,6.3,8.316558,['Drama'],"{'+funeral+': 5.049, '+search+': 5.049, '2010_till_now': 2.0, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.1525893285650039
990,The Hustler,1961.0,243.0,7.6,9.333533,['Drama'],"{'+fast+': 2.344, '+high+': 2.344, 'based+on+novel': 2.344, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.15097045116786692
100042,Dumb and Dumber To,2014.0,1140.0,5.4,15.402597,['Comedy'],"{'+friendship+': 5.049, '+search+': 5.049, '2010_till_now': 2.0, 'road+movie': 5.049, 'runtime_above_110': 1.0}",0.15060281693191124
396810,The Last Word,2017.0,59.0,6.5,7.248414,"['Comedy', 'Drama']","{'+friendship+': 3.126, '+writer+': 3.126, '2010_till_now': 2.0, 'genreDrama': 2.497, 'road+trip': 3.126}",0.1496931586542859
