movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
954,Mission: Impossible,1996.0,2677.0,6.7,15.793477,"['Adventure', 'Action', 'Thriller']","{'+agent+': 1.727, '+awry+': 1.727, '+cia+': 1.727, '+clear+': 1.727, '+computer+': 1.727, '+crack+': 1.727, '+discover+': 1.727, '+double+': 1.727, '+embassy+': 1.727, '+espionage+': 1.727, '+explanation+': 1.727, '+ferret+': 1.727, '+headquarter+': 1.727, '+hunt+': 1.727, '+leader+': 1.727, '+learn+': 1.727, '+mission+': 1.727, '+mole+': 1.727, '+paris+': 1.727, '+penetrate+': 1.727, '+peril+': 1.727, '+prague+': 1.727, '+process+': 1.727, '+real+': 1.727, '+score+': 1.727, '+spy+': 1.727, '+surprise+': 1.727, '+suspect+': 1.727, '+team+': 1.727, '+terrorist+': 1.727, '+undercover+': 1.727, '1990_to_2000': 2.0, 'actorEmmanuelleBéart': 1.986, 'actorJonVoight': 1.986, 'actorTomCruise': 1.986, 'arms+deal': 1.727, 'based+on+tv+series': 1.727, 'composerDannyElfman': 1.072, 'directorBrianDePalma': 2.19, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'london+england': 1.727, 'producerPaulaWagner': 0.927, 'producerTomCruise': 0.927, 'runtime_above_110': 1.0, 'screenplayDavidKoepp': 0.318, 'screenplayRobertTowne': 0.318, 'screenplayStevenZaillian': 0.318, 'secret+agent': 1.727, 'secret+base': 1.727, 'secret+identity': 1.727, 'secret+mission': 1.727}",1.0000000000000004
955,Mission: Impossible II,2000.0,1966.0,5.9,18.97178,"['Adventure', 'Action', 'Thriller']","{'+agent+': 2.188, '+cia+': 2.188, '+computer+': 2.188, '+mission+': 2.188, '+undercover+': 2.188, 'actorTomCruise': 1.986, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'producerPaulaWagner': 0.927, 'producerTomCruise': 0.927, 'runtime_above_110': 1.0, 'screenplayRobertTowne': 0.955, 'secret+agent': 2.188, 'secret+identity': 2.188, 'secret+mission': 2.188}",0.2823866591525754
956,Mission: Impossible III,2006.0,2062.0,6.5,15.687983,"['Adventure', 'Action', 'Thriller']","{'+agent+': 1.34, '+cia+': 1.34, '+computer+': 1.34, '+hunt+': 1.34, '+mission+': 1.34, '+team+': 1.34, 'actorTomCruise': 1.986, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'producerPaulaWagner': 0.927, 'producerTomCruise': 0.927, 'runtime_above_110': 1.0, 'secret+agent': 1.34, 'secret+identity': 1.34, 'secret+mission': 1.34}",0.269194665197832
4954,Drop Zone,1994.0,91.0,5.1,9.579155,"['Action', 'Adventure', 'Thriller']","{'+agent+': 1.989, '+computer+': 1.989, '+learn+': 1.989, '+team+': 1.989, '+terrorist+': 1.989, '+undercover+': 1.989, '1990_to_2000': 2.0, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665}",0.2129237874597213
11665,Get Smart,2008.0,1072.0,6.0,11.35779,"['Action', 'Comedy', 'Thriller']","{'+agent+': 2.984, '+spy+': 2.984, '+team+': 2.984, '+terrorist+': 2.984, 'based+on+tv+series': 2.984, 'genreAction': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0, 'secret+agent': 2.984}",0.20488309098786395
297596,Dying of the Light,2014.0,118.0,4.5,14.059259,"['Thriller', 'Drama']","{'+agent+': 3.455, '+cia+': 3.455, '+espionage+': 3.455, '+mission+': 3.455, '+peril+': 3.455, '+terrorist+': 3.455, 'genreThriller': 2.497}",0.20328603464389092
177677,Mission: Impossible - Rogue Nation,2015.0,3274.0,7.1,17.836882,"['Action', 'Adventure', 'Thriller']","{'+mission+': 3.455, '+spy+': 3.455, '+team+': 3.455, 'actorTomCruise': 1.986, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'london+england': 3.455, 'producerTomCruise': 0.371, 'runtime_above_110': 1.0}",0.19220054984984303
10905,The Man with One Red Shoe,1985.0,74.0,5.4,4.006022,"['Action', 'Comedy']","{'+agent+': 5.967, '+cia+': 5.967, '+spy+': 5.967, '+undercover+': 5.967, 'genreAction': 2.497}",0.18056580819795057
146216,RED 2,2013.0,1548.0,6.4,11.04233,"['Action', 'Comedy', 'Crime', 'Thriller']","{'+cia+': 5.47, '+paris+': 5.47, '+team+': 5.47, 'genreAction': 1.249, 'genreThriller': 1.249, 'london+england': 5.47, 'runtime_above_110': 1.0}",0.17963780302159651
646,Dr. No,1962.0,953.0,6.9,19.931606,"['Adventure', 'Action', 'Thriller']","{'+spy+': 2.188, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'london+england': 2.188, 'runtime_above_110': 1.0, 'secret+agent': 2.188, 'secret+base': 2.188, 'secret+mission': 2.188}",0.17532383602583726
18857,Crime Story,1993.0,39.0,6.7,6.188664,"['Thriller', 'Action', 'Crime', 'Drama']","{'+agent+': 3.861, '+crack+': 3.861, '+discover+': 3.861, '+team+': 3.861, '1990_to_2000': 2.0, 'genreAction': 1.249, 'genreThriller': 1.249}",0.17090202060593335
