movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
954,Mission: Impossible,1996.0,2677.0,6.7,15.793477,"['Adventure', 'Action', 'Thriller']","{'+agent+': 0.109, '+awry+': 0.147, '+cia+': 0.122, '+clear+': 0.127, '+computer+': 0.125, '+crack+': 0.14, '+discover+': 0.087, '+double+': 0.139, '+embassy+': 0.164, '+espionage+': 0.147, '+explanation+': 0.177, '+ferret+': 0.188, '+headquarter+': 0.164, '+hunt+': 0.112, '+leader+': 0.116, '+learn+': 0.094, '+mission+': 0.103, '+mole+': 0.169, '+paris+': 0.105, '+penetrate+': 0.184, '+peril+': 0.148, '+prague+': 0.173, '+process+': 0.128, '+real+': 0.106, '+score+': 0.139, '+spy+': 0.119, '+surprise+': 0.128, '+suspect+': 0.117, '+team+': 0.093, '+terrorist+': 0.119, '+undercover+': 0.121, '1990_to_2000': 0.062, 'actoremmanuellebeart': 0.188, 'actorjonvoight': 0.157, 'actortomcruise': 0.145, 'arms+deal': 0.159, 'based+on+tv+series': 0.139, 'composerdannyelfman': 0.132, 'directorbriandepalma': 0.158, 'genreaction': 0.053, 'genreadventure': 0.064, 'genrethriller': 0.049, 'london+england': 0.116, 'producerpaulawagner': 0.173, 'producertomcruise': 0.171, 'runtime_above_110': 0.046, 'screenplaydavidkoepp': 0.159, 'screenplayroberttowne': 0.173, 'screenplaystevenzaillian': 0.165, 'secret+agent': 0.136, 'secret+base': 0.18, 'secret+identity': 0.139, 'secret+mission': 0.154}",1.0
955,Mission: Impossible II,2000.0,1966.0,5.9,18.97178,"['Adventure', 'Action', 'Thriller']","{'+agent+': 0.125, '+cia+': 0.141, '+computer+': 0.145, '+mission+': 0.118, '+undercover+': 0.14, 'actortomcruise': 0.168, 'genreaction': 0.062, 'genreadventure': 0.074, 'genrethriller': 0.057, 'producerpaulawagner': 0.199, 'producertomcruise': 0.197, 'runtime_above_110': 0.053, 'screenplayroberttowne': 0.199, 'secret+agent': 0.158, 'secret+identity': 0.16, 'secret+mission': 0.178}",0.28917202169093276
956,Mission: Impossible III,2006.0,2062.0,6.5,15.687983,"['Adventure', 'Action', 'Thriller']","{'+agent+': 0.103, '+cia+': 0.116, '+computer+': 0.119, '+hunt+': 0.106, '+mission+': 0.097, '+team+': 0.088, 'actortomcruise': 0.138, 'genreaction': 0.051, 'genreadventure': 0.06, 'genrethriller': 0.047, 'producerpaulawagner': 0.164, 'producertomcruise': 0.162, 'runtime_above_110': 0.044, 'secret+agent': 0.129, 'secret+identity': 0.131, 'secret+mission': 0.146}",0.21523755881739037
177677,Mission: Impossible - Rogue Nation,2015.0,3274.0,7.1,17.836882,"['Action', 'Adventure', 'Thriller']","{'+mission+': 0.121, '+spy+': 0.141, '+team+': 0.11, 'actortomcruise': 0.172, 'genreaction': 0.063, 'genreadventure': 0.075, 'genrethriller': 0.059, 'london+england': 0.138, 'producertomcruise': 0.202, 'runtime_above_110': 0.054}",0.12847412705049455
297596,Dying of the Light,2014.0,118.0,4.5,14.059259,"['Thriller', 'Drama']","{'+agent+': 0.129, '+cia+': 0.146, '+espionage+': 0.175, '+mission+': 0.122, '+peril+': 0.177, '+terrorist+': 0.142, 'genrethriller': 0.059}",0.11621958267283476
646,Dr. No,1962.0,953.0,6.9,19.931606,"['Adventure', 'Action', 'Thriller']","{'+spy+': 0.121, 'genreaction': 0.054, 'genreadventure': 0.064, 'genrethriller': 0.05, 'london+england': 0.118, 'runtime_above_110': 0.047, 'secret+agent': 0.138, 'secret+base': 0.183, 'secret+mission': 0.156}",0.11537573917312745
11665,Get Smart,2008.0,1072.0,6.0,11.35779,"['Action', 'Comedy', 'Thriller']","{'+agent+': 0.128, '+spy+': 0.14, '+team+': 0.109, '+terrorist+': 0.14, 'based+on+tv+series': 0.163, 'genreaction': 0.063, 'genrethriller': 0.058, 'runtime_above_110': 0.054, 'secret+agent': 0.16}",0.11051271825346849
616,The Last Samurai,2003.0,1946.0,7.3,19.582325,"['Drama', 'Action', 'War', 'History']","{'+leader+': 0.096, '+learn+': 0.078, 'actortomcruise': 0.12, 'arms+deal': 0.131, 'genreaction': 0.044, 'producerpaulawagner': 0.143, 'producertomcruise': 0.141, 'runtime_above_110': 0.038}",0.1095056858147222
667,You Only Live Twice,1967.0,541.0,6.5,10.359669,"['Action', 'Thriller', 'Adventure']","{'+agent+': 0.105, 'genreaction': 0.051, 'genreadventure': 0.061, 'genrethriller': 0.048, 'london+england': 0.112, 'runtime_above_110': 0.044, 'secret+base': 0.174, 'secret+identity': 0.133, 'secret+mission': 0.148}",0.1079487661496951
1903,Vanilla Sky,2001.0,1100.0,6.5,10.071057,"['Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']","{'actortomcruise': 0.185, 'genrethriller': 0.063, 'producerpaulawagner': 0.22, 'producertomcruise': 0.217, 'runtime_above_110': 0.059}",0.10772562585283718
10945,Jumpin' Jack Flash,1986.0,86.0,5.9,4.477284,"['Romance', 'Comedy', 'Thriller']","{'+agent+': 0.123, '+cia+': 0.139, '+computer+': 0.142, '+espionage+': 0.167, '+mole+': 0.191, 'genrethriller': 0.056}",0.10764542842947761
