movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
9799,The Fast and the Furious,2001.0,3485.0,6.6,1.406181,"['Action', 'Crime', 'Thriller']","{'+aftercreditsstinger+': 1, '+big+': 1, '+brian+': 1, '+car+': 1, '+choose+': 1, '+cop+': 1, '+crew+': 1, '+duringcreditsstinger+': 1, '+fall+': 1, '+gang+': 1, '+hijack+': 1, '+lapd+': 1, '+mastermind+': 1, '+rig+': 1, '+series+': 1, '+side+': 1, '+sister+': 1, '+undercover+': 1, '2000_to_2010': 1, 'actormichellerodriguez': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'car+race': 1, 'composerbt': 1, 'directorrobcohen': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1, 'screenplaydavidayer': 1, 'screenplayerikbergquist': 1, 'screenplaygaryscottthompson': 1, 'street+gang': 1}",1.0000000000000002
13804,Fast & Furious,2009.0,2426.0,6.5,1.498902,"['Action', 'Crime', 'Drama', 'Thriller']","{'+brian+': 1, '+car+': 1, '+cop+': 1, '2000_to_2010': 1, 'actormichellerodriguez': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1}",0.3343239249178659
584,2 Fast 2 Furious,2003.0,2087.0,6.2,2.32462,"['Action', 'Crime', 'Thriller']","{'+brian+': 1, '+car+': 1, '2000_to_2010': 1, 'actorpaulwalker': 1, 'automobile+racing': 1, 'car+race': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1}",0.3333333333333334
82992,Fast & Furious 6,2013.0,5282.0,6.7,1.6576369999999998,"['Action', 'Thriller', 'Crime']","{'+car+': 1, '+crew+': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'car+race': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1}",0.3333333333333333
4911,Dark Blue,2002.0,86.0,6.5,4.9840800000000005,"['Action', 'Crime', 'Drama', 'Thriller']","{'+cop+': 1, '+lapd+': 1, '+series+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'screenplaydavidayer': 1}",0.25000000000000006
9615,The Fast and the Furious: Tokyo Drift,2006.0,1749.0,6.1,2.238808,"['Action', 'Crime', 'Drama', 'Thriller']","{'+car+': 1, '2000_to_2010': 1, 'automobile+racing': 1, 'car+race': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1}",0.25000000000000006
9257,S.W.A.T.,2003.0,780.0,5.8,13.334952,"['Action', 'Thriller', 'Crime']","{'+big+': 1, '2000_to_2010': 1, 'actormichellerodriguez': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'producernealhmoritz': 1, 'screenplaydavidayer': 1}",0.24659848095803588
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+brian+': 1, '+car+': 1, '+duringcreditsstinger+': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1}",0.24310831916315753
13390,Tortured,2008.0,19.0,5.3,5.555685,"['Crime', 'Thriller']","{'+gang+': 1, '+undercover+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_100_to_110': 1}",0.22360679774997894
17317,Urban Justice,2007.0,34.0,5.4,4.352072,"['Crime', 'Action', 'Thriller']","{'+gang+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1}",0.2182178902359924
2034,Training Day,2001.0,1665.0,7.3,13.664622,"['Action', 'Crime', 'Drama', 'Thriller']","{'+cop+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'screenplaydavidayer': 1}",0.2130032168075646
