movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
9799,The Fast and the Furious,2001.0,3485.0,6.6,1.406181,"['Action', 'Crime', 'Thriller']","{'+aftercreditsstinger+': 1, '+big+': 1, '+brian+': 1, '+car+': 1, '+choose+': 1, '+cop+': 1, '+crew+': 1, '+duringcreditsstinger+': 1, '+fall+': 1, '+gang+': 1, '+hijack+': 1, '+lapd+': 1, '+mastermind+': 1, '+rig+': 1, '+series+': 1, '+side+': 1, '+sister+': 1, '+undercover+': 1, '2000_to_2010': 1, 'actormichellerodriguez': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'car+race': 1, 'composerbt': 1, 'directorrobcohen': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1, 'screenplaydavidayer': 1, 'screenplayerikbergquist': 1, 'screenplaygaryscottthompson': 1, 'street+gang': 1}",36.0
13804,Fast & Furious,2009.0,2426.0,6.5,1.498902,"['Action', 'Crime', 'Drama', 'Thriller']","{'+brian+': 1, '+car+': 1, '+cop+': 1, '2000_to_2010': 1, 'actormichellerodriguez': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1}",13.0
584,2 Fast 2 Furious,2003.0,2087.0,6.2,2.32462,"['Action', 'Crime', 'Thriller']","{'+brian+': 1, '+car+': 1, '2000_to_2010': 1, 'actorpaulwalker': 1, 'automobile+racing': 1, 'car+race': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1}",12.0
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+brian+': 1, '+car+': 1, '+duringcreditsstinger+': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1}",10.0
82992,Fast & Furious 6,2013.0,5282.0,6.7,1.6576369999999998,"['Action', 'Thriller', 'Crime']","{'+car+': 1, '+crew+': 1, 'actorpaulwalker': 1, 'actorvindiesel': 1, 'automobile+racing': 1, 'car+race': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1}",10.0
4911,Dark Blue,2002.0,86.0,6.5,4.9840800000000005,"['Action', 'Crime', 'Drama', 'Thriller']","{'+cop+': 1, '+lapd+': 1, '+series+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'screenplaydavidayer': 1}",9.0
9257,S.W.A.T.,2003.0,780.0,5.8,13.334952,"['Action', 'Thriller', 'Crime']","{'+big+': 1, '2000_to_2010': 1, 'actormichellerodriguez': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'producernealhmoritz': 1, 'screenplaydavidayer': 1}",9.0
9615,The Fast and the Furious: Tokyo Drift,2006.0,1749.0,6.1,2.238808,"['Action', 'Crime', 'Drama', 'Thriller']","{'+car+': 1, '2000_to_2010': 1, 'automobile+racing': 1, 'car+race': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'producernealhmoritz': 1, 'runtime_100_to_110': 1}",9.0
96,Beverly Hills Cop II,1987.0,627.0,6.1,9.200336,"['Action', 'Comedy', 'Crime']","{'+cop+': 1, '+mastermind+': 1, '+series+': 1, '+undercover+': 1, 'genreaction': 1, 'genrecrime': 1, 'los+angeles': 1, 'runtime_100_to_110': 1}",8.0
8961,Bad Boys II,2003.0,1588.0,6.3,8.191436,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']","{'+car+': 1, '+gang+': 1, '+sister+': 1, '+undercover+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1}",8.0
1266,Street Kings,2008.0,369.0,6.3,13.246795,"['Action', 'Crime', 'Drama', 'Thriller']","{'+cop+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrecrime': 1, 'genrethriller': 1, 'los+angeles': 1, 'runtime_100_to_110': 1}",7.0
