movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
9799,The Fast and the Furious,2001.0,3485.0,6.6,1.406181,"['Action', 'Crime', 'Thriller']","{'+aftercreditsstinger+': 2.984, '+big+': 2.984, '+brian+': 2.984, '+car+': 2.984, '+choose+': 2.984, '+cop+': 2.984, '+crew+': 2.984, '+duringcreditsstinger+': 2.984, '+fall+': 2.984, '+gang+': 2.984, '+hijack+': 2.984, '+lapd+': 2.984, '+mastermind+': 2.984, '+rig+': 2.984, '+series+': 2.984, '+side+': 2.984, '+sister+': 2.984, '+undercover+': 2.984, '2000_to_2010': 2.0, 'actorMichelleRodriguez': 1.986, 'actorPaulWalker': 1.986, 'actorVinDiesel': 1.986, 'automobile+racing': 2.984, 'car+race': 2.984, 'composerBT': 1.072, 'directorRobCohen': 2.19, 'genreAction': 1.665, 'genreCrime': 1.665, 'genreThriller': 1.665, 'los+angeles': 2.984, 'producerNealHMoritz': 1.854, 'runtime_100_to_110': 1.0, 'screenplayDavidAyer': 0.318, 'screenplayErikBergquist': 0.318, 'screenplayGaryScottThompson': 0.318, 'street+gang': 2.984}",0.9999999999999999
584,2 Fast 2 Furious,2003.0,2087.0,6.2,2.32462,"['Action', 'Crime', 'Thriller']","{'+brian+': 2.854, '+car+': 2.854, '2000_to_2010': 2.0, 'actorPaulWalker': 1.986, 'automobile+racing': 2.854, 'car+race': 2.854, 'genreAction': 1.665, 'genreCrime': 1.665, 'genreThriller': 1.665, 'los+angeles': 2.854, 'producerNealHMoritz': 1.854, 'runtime_100_to_110': 1.0}",0.27939073790892166
82992,Fast & Furious 6,2013.0,5282.0,6.7,1.6576369999999998,"['Action', 'Thriller', 'Crime']","{'+car+': 5.47, '+crew+': 5.47, 'actorPaulWalker': 1.986, 'actorVinDiesel': 1.986, 'automobile+racing': 5.47, 'car+race': 5.47, 'genreAction': 1.665, 'genreCrime': 1.665, 'genreThriller': 1.665, 'producerNealHMoritz': 0.618}",0.27503286399970883
13804,Fast & Furious,2009.0,2426.0,6.5,1.498902,"['Action', 'Crime', 'Drama', 'Thriller']","{'+brian+': 2.344, '+car+': 2.344, '+cop+': 2.344, '2000_to_2010': 2.0, 'actorMichelleRodriguez': 1.986, 'actorPaulWalker': 1.986, 'actorVinDiesel': 1.986, 'automobile+racing': 2.344, 'genreAction': 1.249, 'genreCrime': 1.249, 'genreThriller': 1.249, 'producerNealHMoritz': 0.618, 'runtime_100_to_110': 1.0}",0.2533042856810649
4911,Dark Blue,2002.0,86.0,6.5,4.9840800000000005,"['Action', 'Crime', 'Drama', 'Thriller']","{'+cop+': 3.455, '+lapd+': 3.455, '+series+': 3.455, '2000_to_2010': 2.0, 'genreAction': 1.249, 'genreCrime': 1.249, 'genreThriller': 1.249, 'los+angeles': 3.455, 'screenplayDavidAyer': 0.955}",0.21239224623659975
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+brian+': 1.989, '+car+': 1.989, '+duringcreditsstinger+': 1.989, 'actorPaulWalker': 1.986, 'actorVinDiesel': 1.986, 'automobile+racing': 1.989, 'genreAction': 1.665, 'genreCrime': 1.665, 'genreThriller': 1.665, 'producerNealHMoritz': 0.618}",0.21142499645546542
9917,Waist Deep,2006.0,51.0,6.6,4.212434,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+car+': 6.564, '+gang+': 6.564, '+hijack+': 6.564, '2000_to_2010': 2.0, 'genreAction': 1.249, 'genreThriller': 1.249}",0.2046698430248099
109513,Hit & Run,2012.0,225.0,5.5,7.148558,"['Action', 'Comedy', 'Romance']","{'+duringcreditsstinger+': 5.967, '+gang+': 5.967, 'genreAction': 1.665, 'los+angeles': 5.967, 'runtime_100_to_110': 1.0}",0.18330747119350788
9615,The Fast and the Furious: Tokyo Drift,2006.0,1749.0,6.1,2.238808,"['Action', 'Crime', 'Drama', 'Thriller']","{'+car+': 2.854, '2000_to_2010': 2.0, 'automobile+racing': 2.854, 'car+race': 2.854, 'genreAction': 1.249, 'genreCrime': 1.249, 'genreThriller': 1.249, 'producerNealHMoritz': 1.854, 'runtime_100_to_110': 1.0}",0.17824598715382398
238713,Spy,2015.0,2590.0,6.9,13.257467000000002,"['Action', 'Comedy', 'Crime']","{'+aftercreditsstinger+': 5.049, '+duringcreditsstinger+': 5.049, '+undercover+': 5.049, 'genreAction': 1.665, 'genreCrime': 1.665}",0.17524445052761461
21338,Stone Cold,1991.0,35.0,5.6,4.1734550000000015,"['Action', 'Crime', 'Thriller']","{'+brian+': 4.376, '+cop+': 4.376, '+undercover+': 4.376, 'genreAction': 1.665, 'genreCrime': 1.665, 'genreThriller': 1.665}",0.17428488343011153
