movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
9799,The Fast and the Furious,2001.0,3485.0,6.6,1.406181,"['Action', 'Crime', 'Thriller']","{'+aftercreditsstinger+': 0.134, '+big+': 0.138, '+brian+': 0.193, '+car+': 0.133, '+choose+': 0.173, '+cop+': 0.133, '+crew+': 0.139, '+duringcreditsstinger+': 0.117, '+fall+': 0.108, '+gang+': 0.125, '+hijack+': 0.18, '+lapd+': 0.197, '+mastermind+': 0.193, '+rig+': 0.191, '+series+': 0.13, '+side+': 0.149, '+sister+': 0.127, '+undercover+': 0.151, '2000_to_2010': 0.06, 'actormichellerodriguez': 0.206, 'actorpaulwalker': 0.198, 'actorvindiesel': 0.195, 'automobile+racing': 0.203, 'car+race': 0.186, 'composerbt': 0.229, 'directorrobcohen': 0.213, 'genreaction': 0.067, 'genrecrime': 0.079, 'genrethriller': 0.062, 'los+angeles': 0.133, 'producernealhmoritz': 0.172, 'runtime_100_to_110': 0.068, 'screenplaydavidayer': 0.225, 'screenplayerikbergquist': 0.258, 'screenplaygaryscottthompson': 0.248, 'street+gang': 0.188}",1.0000000000000002
82992,Fast & Furious 6,2013.0,5282.0,6.7,1.6576369999999998,"['Action', 'Thriller', 'Crime']","{'+car+': 0.168, '+crew+': 0.175, 'actorpaulwalker': 0.25, 'actorvindiesel': 0.246, 'automobile+racing': 0.255, 'car+race': 0.234, 'genreaction': 0.084, 'genrecrime': 0.099, 'genrethriller': 0.078, 'producernealhmoritz': 0.217}",0.29513758805733403
13804,Fast & Furious,2009.0,2426.0,6.5,1.498902,"['Action', 'Crime', 'Drama', 'Thriller']","{'+brian+': 0.185, '+car+': 0.127, '+cop+': 0.128, '2000_to_2010': 0.057, 'actormichellerodriguez': 0.197, 'actorpaulwalker': 0.19, 'actorvindiesel': 0.187, 'automobile+racing': 0.194, 'genreaction': 0.064, 'genrecrime': 0.075, 'genrethriller': 0.059, 'producernealhmoritz': 0.165, 'runtime_100_to_110': 0.065}",0.27382240607744057
584,2 Fast 2 Furious,2003.0,2087.0,6.2,2.32462,"['Action', 'Crime', 'Thriller']","{'+brian+': 0.195, '+car+': 0.134, '2000_to_2010': 0.06, 'actorpaulwalker': 0.2, 'automobile+racing': 0.204, 'car+race': 0.187, 'genreaction': 0.067, 'genrecrime': 0.079, 'genrethriller': 0.062, 'los+angeles': 0.134, 'producernealhmoritz': 0.174, 'runtime_100_to_110': 0.068}",0.24184366686468403
168259,Furious 7,2015.0,4253.0,7.3,27.275687,['Action'],"{'+car+': 0.161, 'actorpaulwalker': 0.24, 'actorvindiesel': 0.237, 'car+race': 0.225, 'genreaction': 0.081, 'producernealhmoritz': 0.208}",0.19829387278211616
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+brian+': 0.164, '+car+': 0.113, '+duringcreditsstinger+': 0.1, 'actorpaulwalker': 0.168, 'actorvindiesel': 0.166, 'automobile+racing': 0.172, 'genreaction': 0.057, 'genrecrime': 0.067, 'genrethriller': 0.052, 'producernealhmoritz': 0.146}",0.19648464813144742
10048,Stealth,2005.0,341.0,4.9,13.89018,['Action'],"{'+aftercreditsstinger+': 0.15, '2000_to_2010': 0.067, 'composerbt': 0.256, 'directorrobcohen': 0.238, 'genreaction': 0.074, 'producernealhmoritz': 0.192}",0.17126164075108127
9257,S.W.A.T.,2003.0,780.0,5.8,13.334952,"['Action', 'Thriller', 'Crime']","{'+big+': 0.133, '2000_to_2010': 0.058, 'actormichellerodriguez': 0.199, 'genreaction': 0.064, 'genrecrime': 0.076, 'genrethriller': 0.059, 'los+angeles': 0.128, 'producernealhmoritz': 0.166, 'screenplaydavidayer': 0.217}",0.17101586356346563
4911,Dark Blue,2002.0,86.0,6.5,4.9840800000000005,"['Action', 'Crime', 'Drama', 'Thriller']","{'+cop+': 0.128, '+lapd+': 0.189, '+series+': 0.125, '2000_to_2010': 0.057, 'genreaction': 0.064, 'genrecrime': 0.076, 'genrethriller': 0.059, 'los+angeles': 0.127, 'screenplaydavidayer': 0.215}",0.1529515201397396
9615,The Fast and the Furious: Tokyo Drift,2006.0,1749.0,6.1,2.238808,"['Action', 'Crime', 'Drama', 'Thriller']","{'+car+': 0.13, '2000_to_2010': 0.058, 'automobile+racing': 0.198, 'car+race': 0.182, 'genreaction': 0.065, 'genrecrime': 0.077, 'genrethriller': 0.06, 'producernealhmoritz': 0.168, 'runtime_100_to_110': 0.066}",0.14245303664476217
7451,xXx,2002.0,1454.0,5.8,12.722381,"['Action', 'Adventure', 'Thriller']","{'2000_to_2010': 0.061, 'actorvindiesel': 0.201, 'directorrobcohen': 0.219, 'genreaction': 0.069, 'genrethriller': 0.063, 'producernealhmoritz': 0.177}",0.12847458167596737
