movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
98,Gladiator,2000.0,5566.0,7.9,23.186667,"['Action', 'Drama', 'Adventure']","{'+advisor+': 1, '+amused+': 1, '+arena+': 1, '+army+': 1, '+avenge+': 1, '+barbarian+': 1, '+battle+': 1, '+battlefield+': 1, '+blood+': 1, '+capable+': 1, '+capture+': 1, '+century+': 1, '+challenge+': 1, '+chaos+': 1, '+combat+': 1, '+death+': 1, '+determine+': 1, '+emperor+': 1, '+escape+': 1, '+execute+': 1, '+fame+': 1, '+family+': 1, '+famous+': 1, '+fight+': 1, '+force+': 1, '+freedom+': 1, '+gladiator+': 1, '+glory+': 1, '+horde+': 1, '+key+': 1, '+laid+': 1, '+loss+': 1, '+men+': 1, '+mettle+': 1, '+pay+': 1, '+philosopher+': 1, '+ring+': 1, '+roman+': 1, '+rome+': 1, '+rule+': 1, '+senate+': 1, '+serve+': 1, '+skill+': 1, '+slavery+': 1, '+square+': 1, '+successor+': 1, '+test+': 1, '+throne+': 1, '+trust+': 1, '+waste+': 1, '2000_to_2010': 1, 'actorconnienielsen': 1, 'actorjoaquinphoenix': 1, 'actorrussellcrowe': 1, 'ancient+world': 1, 'composerhanszimmer': 1, 'composerlisagerrard': 1, 'directorridleyscott': 1, 'dream+sequence': 1, 'father+daughter+relationship': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'mother+son+relationship': 1, 'producerbrankolustig': 1, 'producerdavidfranzoni': 1, 'producerdouglaswick': 1, 'roman+empire': 1, 'runtime_above_110': 1, 'screenplaydavidfranzoni': 1, 'screenplayjohnlogan': 1, 'screenplaywilliamnicholson': 1, 'slave+trade': 1}",1.000000000000002
18976,Attila,2001.0,61.0,6.5,9.563499,"['War', 'Action', 'Adventure', 'Drama', 'History', 'Romance']","{'+army+': 1, '+barbarian+': 1, '+battle+': 1, '+battlefield+': 1, '+blood+': 1, '+death+': 1, '+roman+': 1, '+rome+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.23203189902747204
32528,Spartacus,2004.0,18.0,6.2,9.616734,"['TV Movie', 'Action', 'Drama', 'History']","{'+gladiator+': 1, '+roman+': 1, '+rome+': 1, '+senate+': 1, '+slavery+': 1, '2000_to_2010': 1, 'ancient+world': 1, 'genreaction': 1, 'genredrama': 1, 'roman+empire': 1, 'runtime_above_110': 1}",0.18027942617358556
1895,Star Wars: Episode III - Revenge of the Sith,2005.0,4200.0,7.1,13.165420999999998,"['Science Fiction', 'Adventure', 'Action']","{'+army+': 1, '+battle+': 1, '+emperor+': 1, '+force+': 1, '+rule+': 1, '2000_to_2010': 1, 'dream+sequence': 1, 'genreaction': 1, 'genreadventure': 1, 'runtime_above_110': 1}",0.15368255536133624
29339,Nicholas Nickleby,2002.0,50.0,6.8,4.056577,"['Adventure', 'Drama', 'Action', 'Family']","{'+family+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.15324283327163907
1579,Apocalypto,2006.0,1252.0,7.3,7.735233,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+family+': 1, '+force+': 1, '+rule+': 1, '+slavery+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.1504814749664536
9550,House of Flying Daggers,2004.0,452.0,7.1,9.3002,"['Adventure', 'Drama', 'Action', 'Romance']","{'+army+': 1, '+century+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.14958084510974085
855,Black Hawk Down,2001.0,1832.0,7.2,10.064446,"['Action', 'History', 'War']","{'+fight+': 1, '+force+': 1, '2000_to_2010': 1, 'composerhanszimmer': 1, 'directorridleyscott': 1, 'genreaction': 1, 'runtime_above_110': 1}",0.14714847414204874
4643,The Guardian,2006.0,394.0,6.8,10.031817,"['Action', 'Adventure', 'Drama']","{'+death+': 1, '+loss+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.14714847414204874
9703,The Last Legion,2007.0,210.0,5.0,8.920544999999997,"['Action', 'Adventure', 'Fantasy', 'War']","{'+emperor+': 1, '+roman+': 1, '2000_to_2010': 1, 'ancient+world': 1, 'genreaction': 1, 'genreadventure': 1, 'roman+empire': 1}",0.14714847414204874
13495,Alatriste,2006.0,62.0,5.6,5.035414,['Action'],"{'+army+': 1, '+death+': 1, '+fight+': 1, '2000_to_2010': 1, 'genreaction': 1, 'runtime_above_110': 1}",0.14642859736901404
