movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
98,Gladiator,2000.0,5566.0,7.9,23.186667,"['Action', 'Drama', 'Adventure']","{'+advisor+': 1, '+amused+': 1, '+arena+': 1, '+army+': 1, '+avenge+': 1, '+barbarian+': 1, '+battle+': 1, '+battlefield+': 1, '+blood+': 1, '+capable+': 1, '+capture+': 1, '+century+': 1, '+challenge+': 1, '+chaos+': 1, '+combat+': 1, '+death+': 1, '+determine+': 1, '+emperor+': 1, '+escape+': 1, '+execute+': 1, '+fame+': 1, '+family+': 1, '+famous+': 1, '+fight+': 1, '+force+': 1, '+freedom+': 1, '+gladiator+': 1, '+glory+': 1, '+horde+': 1, '+key+': 1, '+laid+': 1, '+loss+': 1, '+men+': 1, '+mettle+': 1, '+pay+': 1, '+philosopher+': 1, '+ring+': 1, '+roman+': 1, '+rome+': 1, '+rule+': 1, '+senate+': 1, '+serve+': 1, '+skill+': 1, '+slavery+': 1, '+square+': 1, '+successor+': 1, '+test+': 1, '+throne+': 1, '+trust+': 1, '+waste+': 1, '2000_to_2010': 1, 'actorconnienielsen': 1, 'actorjoaquinphoenix': 1, 'actorrussellcrowe': 1, 'ancient+world': 1, 'composerhanszimmer': 1, 'composerlisagerrard': 1, 'directorridleyscott': 1, 'dream+sequence': 1, 'father+daughter+relationship': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'mother+son+relationship': 1, 'producerbrankolustig': 1, 'producerdavidfranzoni': 1, 'producerdouglaswick': 1, 'roman+empire': 1, 'runtime_above_110': 1, 'screenplaydavidfranzoni': 1, 'screenplayjohnlogan': 1, 'screenplaywilliamnicholson': 1, 'slave+trade': 1}",73.0
18976,Attila,2001.0,61.0,6.5,9.563499,"['War', 'Action', 'Adventure', 'Drama', 'History', 'Romance']","{'+army+': 1, '+barbarian+': 1, '+battle+': 1, '+battlefield+': 1, '+blood+': 1, '+death+': 1, '+roman+': 1, '+rome+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",13.0
32528,Spartacus,2004.0,18.0,6.2,9.616734,"['TV Movie', 'Action', 'Drama', 'History']","{'+gladiator+': 1, '+roman+': 1, '+rome+': 1, '+senate+': 1, '+slavery+': 1, '2000_to_2010': 1, 'ancient+world': 1, 'genreaction': 1, 'genredrama': 1, 'roman+empire': 1, 'runtime_above_110': 1}",11.0
1895,Star Wars: Episode III - Revenge of the Sith,2005.0,4200.0,7.1,13.165420999999998,"['Science Fiction', 'Adventure', 'Action']","{'+army+': 1, '+battle+': 1, '+emperor+': 1, '+force+': 1, '+rule+': 1, '2000_to_2010': 1, 'dream+sequence': 1, 'genreaction': 1, 'genreadventure': 1, 'runtime_above_110': 1}",10.0
184315,Hercules,2014.0,1707.0,5.6,19.606895,"['Action', 'Adventure']","{'+army+': 1, '+battle+': 1, '+blood+': 1, '+death+': 1, '+family+': 1, '+fight+': 1, '+loss+': 1, '+men+': 1, 'genreaction': 1, 'genreadventure': 1}",10.0
616,The Last Samurai,2003.0,1946.0,7.3,19.582325,"['Drama', 'Action', 'War', 'History']","{'+emperor+': 1, '+fight+': 1, '+rule+': 1, '2000_to_2010': 1, 'composerhanszimmer': 1, 'genreaction': 1, 'genredrama': 1, 'runtime_above_110': 1, 'screenplayjohnlogan': 1}",9.0
665,Ben-Hur,1959.0,660.0,7.5,14.319743,"['Action', 'Adventure', 'Drama', 'History']","{'+battle+': 1, '+freedom+': 1, '+ring+': 1, '+roman+': 1, '+slavery+': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",9.0
1579,Apocalypto,2006.0,1252.0,7.3,7.735233,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+family+': 1, '+force+': 1, '+rule+': 1, '+slavery+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",9.0
9387,Conan the Barbarian,1982.0,663.0,6.6,10.52008,"['Adventure', 'Fantasy', 'Action']","{'+barbarian+': 1, '+family+': 1, '+fight+': 1, '+gladiator+': 1, '+horde+': 1, '+slavery+': 1, 'genreaction': 1, 'genreadventure': 1, 'runtime_above_110': 1}",9.0
11658,Tae Guk Gi: The Brotherhood of War,2004.0,134.0,7.4,9.140411,"['Action', 'Adventure', 'Drama', 'History', 'War']","{'+army+': 1, '+family+': 1, '+fight+': 1, '+force+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",9.0
38543,Ironclad,2011.0,231.0,6.2,12.17054,"['Romance', 'Adventure', 'Action', 'History']","{'+army+': 1, '+battlefield+': 1, '+fight+': 1, '+force+': 1, '+freedom+': 1, '+men+': 1, 'genreaction': 1, 'genreadventure': 1, 'runtime_above_110': 1}",9.0
