movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
98,Gladiator,2000.0,5566.0,7.9,23.186667,"['Action', 'Drama', 'Adventure']","{'+advisor+': 1.172, '+amused+': 1.172, '+arena+': 1.172, '+army+': 1.172, '+avenge+': 1.172, '+barbarian+': 1.172, '+battle+': 1.172, '+battlefield+': 1.172, '+blood+': 1.172, '+capable+': 1.172, '+capture+': 1.172, '+century+': 1.172, '+challenge+': 1.172, '+chaos+': 1.172, '+combat+': 1.172, '+death+': 1.172, '+determine+': 1.172, '+emperor+': 1.172, '+escape+': 1.172, '+execute+': 1.172, '+fame+': 1.172, '+family+': 1.172, '+famous+': 1.172, '+fight+': 1.172, '+force+': 1.172, '+freedom+': 1.172, '+gladiator+': 1.172, '+glory+': 1.172, '+horde+': 1.172, '+key+': 1.172, '+laid+': 1.172, '+loss+': 1.172, '+men+': 1.172, '+mettle+': 1.172, '+pay+': 1.172, '+philosopher+': 1.172, '+ring+': 1.172, '+roman+': 1.172, '+rome+': 1.172, '+rule+': 1.172, '+senate+': 1.172, '+serve+': 1.172, '+skill+': 1.172, '+slavery+': 1.172, '+square+': 1.172, '+successor+': 1.172, '+test+': 1.172, '+throne+': 1.172, '+trust+': 1.172, '+waste+': 1.172, '2000_to_2010': 2.0, 'actorConnieNielsen': 1.986, 'actorJoaquinPhoenix': 1.986, 'actorRussellCrowe': 1.986, 'ancient+world': 1.172, 'composerHansZimmer': 0.536, 'composerLisaGerrard': 0.536, 'directorRidleyScott': 2.19, 'dream+sequence': 1.172, 'father+daughter+relationship': 1.172, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreDrama': 1.665, 'mother+son+relationship': 1.172, 'producerBrankoLustig': 0.618, 'producerDavidFranzoni': 0.618, 'producerDouglasWick': 0.618, 'roman+empire': 1.172, 'runtime_above_110': 1.0, 'screenplayDavidFranzoni': 0.318, 'screenplayJohnLogan': 0.318, 'screenplayWilliamNicholson': 0.318, 'slave+trade': 1.172}",1.0000000000000004
18976,Attila,2001.0,61.0,6.5,9.563499,"['War', 'Action', 'Adventure', 'Drama', 'History', 'Romance']","{'+army+': 2.188, '+barbarian+': 2.188, '+battle+': 2.188, '+battlefield+': 2.188, '+blood+': 2.188, '+death+': 2.188, '+roman+': 2.188, '+rome+': 2.188, '2000_to_2010': 2.0, 'genreAction': 0.832, 'genreAdventure': 0.832, 'genreDrama': 0.832, 'runtime_above_110': 1.0}",0.21772860947588102
32528,Spartacus,2004.0,18.0,6.2,9.616734,"['TV Movie', 'Action', 'Drama', 'History']","{'+gladiator+': 1.641, '+roman+': 1.641, '+rome+': 1.641, '+senate+': 1.641, '+slavery+': 1.641, '2000_to_2010': 2.0, 'ancient+world': 1.641, 'genreAction': 1.249, 'genreDrama': 1.249, 'roman+empire': 1.641, 'runtime_above_110': 1.0}",0.18537783664235616
184315,Hercules,2014.0,1707.0,5.6,19.606895,"['Action', 'Adventure']","{'+army+': 1.262, '+battle+': 1.262, '+blood+': 1.262, '+death+': 1.262, '+family+': 1.262, '+fight+': 1.262, '+loss+': 1.262, '+men+': 1.262, 'genreAction': 2.497, 'genreAdventure': 2.497}",0.17648034064289297
4982,American Gangster,2007.0,1527.0,7.4,9.644542,"['Drama', 'Crime']","{'+death+': 1.527, '+family+': 1.527, '2000_to_2010': 2.0, 'actorRussellCrowe': 1.986, 'directorRidleyScott': 2.19, 'genreDrama': 2.497, 'runtime_above_110': 1.0}",0.17513468307278485
1895,Star Wars: Episode III - Revenge of the Sith,2005.0,4200.0,7.1,13.165420999999998,"['Science Fiction', 'Adventure', 'Action']","{'+army+': 1.427, '+battle+': 1.427, '+emperor+': 1.427, '+force+': 1.427, '+rule+': 1.427, '2000_to_2010': 2.0, 'dream+sequence': 1.427, 'genreAction': 1.665, 'genreAdventure': 1.665, 'runtime_above_110': 1.0}",0.1735403173344574
23160,Werckmeister Harmonies,2000.0,61.0,7.4,7.970312,['Drama'],"{'+army+': 0.353, '+chaos+': 0.353, '+death+': 0.353, '+square+': 0.353, '2000_to_2010': 2.0, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.1733177940936992
71254,Arena,2011.0,90.0,5.0,9.965719,"['Action', 'Thriller', 'Science Fiction']","{'+arena+': 5.47, '+death+': 5.47, '+fight+': 5.47, '+force+': 5.47, '+men+': 5.47, 'genreAction': 1.665}",0.1685250649042382
12113,Body of Lies,2008.0,919.0,6.5,12.886125,"['Action', 'Drama', 'Thriller']","{'+trust+': 1.989, '2000_to_2010': 2.0, 'actorRussellCrowe': 1.986, 'directorRidleyScott': 2.19, 'genreAction': 1.665, 'genreDrama': 1.665, 'runtime_above_110': 1.0}",0.16181959776089438
14208,The Librarian: Return to King Solomon's Mines,2006.0,123.0,5.8,12.49401,"['Fantasy', 'Action', 'Adventure']","{'+death+': 1.601, '+escape+': 1.601, '+key+': 1.601, '+men+': 1.601, '+roman+': 1.601, '2000_to_2010': 2.0, 'genreAction': 1.665, 'genreAdventure': 1.665}",0.15540222441662305
1579,Apocalypto,2006.0,1252.0,7.3,7.735233,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+family+': 1.823, '+force+': 1.823, '+rule+': 1.823, '+slavery+': 1.823, '2000_to_2010': 2.0, 'genreAction': 1.249, 'genreAdventure': 1.249, 'genreDrama': 1.249, 'runtime_above_110': 1.0}",0.1545750194472608
