movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
98,Gladiator,2000.0,5566.0,7.9,23.186667,"['Action', 'Drama', 'Adventure']","{'+advisor+': 0.135, '+amused+': 0.154, '+arena+': 0.138, '+army+': 0.088, '+avenge+': 0.114, '+barbarian+': 0.145, '+battle+': 0.084, '+battlefield+': 0.125, '+blood+': 0.087, '+capable+': 0.125, '+capture+': 0.097, '+century+': 0.101, '+challenge+': 0.104, '+chaos+': 0.103, '+combat+': 0.113, '+death+': 0.072, '+determine+': 0.092, '+emperor+': 0.121, '+escape+': 0.078, '+execute+': 0.113, '+fame+': 0.107, '+family+': 0.062, '+famous+': 0.101, '+fight+': 0.073, '+force+': 0.075, '+freedom+': 0.105, '+gladiator+': 0.141, '+glory+': 0.127, '+horde+': 0.126, '+key+': 0.107, '+laid+': 0.128, '+loss+': 0.105, '+men+': 0.081, '+mettle+': 0.149, '+pay+': 0.104, '+philosopher+': 0.138, '+ring+': 0.107, '+roman+': 0.117, '+rome+': 0.113, '+rule+': 0.098, '+senate+': 0.123, '+serve+': 0.113, '+skill+': 0.105, '+slavery+': 0.12, '+square+': 0.132, '+successor+': 0.145, '+test+': 0.095, '+throne+': 0.118, '+trust+': 0.103, '+waste+': 0.136, '2000_to_2010': 0.04, 'actorconnienielsen': 0.145, 'actorjoaquinphoenix': 0.128, 'actorrussellcrowe': 0.126, 'ancient+world': 0.138, 'composerhanszimmer': 0.106, 'composerlisagerrard': 0.151, 'directorridleyscott': 0.129, 'dream+sequence': 0.14, 'father+daughter+relationship': 0.114, 'genreaction': 0.045, 'genreadventure': 0.053, 'genredrama': 0.031, 'mother+son+relationship': 0.119, 'producerbrankolustig': 0.161, 'producerdavidfranzoni': 0.173, 'producerdouglaswick': 0.134, 'roman+empire': 0.137, 'runtime_above_110': 0.038, 'screenplaydavidfranzoni': 0.161, 'screenplayjohnlogan': 0.14, 'screenplaywilliamnicholson': 0.145, 'slave+trade': 0.157}",0.9999999999999997
18976,Attila,2001.0,61.0,6.5,9.563499,"['War', 'Action', 'Adventure', 'Drama', 'History', 'Romance']","{'+army+': 0.13, '+barbarian+': 0.213, '+battle+': 0.124, '+battlefield+': 0.185, '+blood+': 0.127, '+death+': 0.106, '+roman+': 0.173, '+rome+': 0.167, '2000_to_2010': 0.059, 'genreaction': 0.066, 'genreadventure': 0.079, 'genredrama': 0.046, 'runtime_above_110': 0.057}",0.14668077484545347
32528,Spartacus,2004.0,18.0,6.2,9.616734,"['TV Movie', 'Action', 'Drama', 'History']","{'+gladiator+': 0.169, '+roman+': 0.14, '+rome+': 0.135, '+senate+': 0.147, '+slavery+': 0.143, '2000_to_2010': 0.048, 'ancient+world': 0.166, 'genreaction': 0.053, 'genredrama': 0.037, 'roman+empire': 0.164, 'runtime_above_110': 0.046}",0.14355171914047848
9703,The Last Legion,2007.0,210.0,5.0,8.920544999999997,"['Action', 'Adventure', 'Fantasy', 'War']","{'+emperor+': 0.185, '+roman+': 0.18, '2000_to_2010': 0.061, 'ancient+world': 0.212, 'genreaction': 0.069, 'genreadventure': 0.082, 'roman+empire': 0.21}",0.11147226274082438
967,Spartacus,1960.0,472.0,7.3,11.110376,"['Action', 'Drama', 'History']","{'+gladiator+': 0.171, '+roman+': 0.142, '+slavery+': 0.145, 'ancient+world': 0.168, 'genreaction': 0.054, 'genredrama': 0.038, 'roman+empire': 0.166, 'runtime_above_110': 0.047}",0.10976111115619068
9387,Conan the Barbarian,1982.0,663.0,6.6,10.52008,"['Adventure', 'Fantasy', 'Action']","{'+barbarian+': 0.162, '+family+': 0.069, '+fight+': 0.082, '+gladiator+': 0.158, '+horde+': 0.141, '+slavery+': 0.134, 'genreaction': 0.05, 'genreadventure': 0.06, 'runtime_above_110': 0.043}",0.09670056735513803
8868,Asterix vs. Caesar,1985.0,122.0,6.5,7.174178,"['Comedy', 'Animation', 'Family', 'Adventure']","{'+emperor+': 0.182, '+roman+': 0.177, '+rome+': 0.171, 'genreadventure': 0.08, 'roman+empire': 0.207}",0.09464333575811723
11831,Amistad,1997.0,324.0,6.8,2.263584,"['Drama', 'History', 'Mystery']","{'+slavery+': 0.161, 'genredrama': 0.042, 'runtime_above_110': 0.052, 'screenplaydavidfranzoni': 0.217, 'slave+trade': 0.211}",0.09065482447089918
49494,The Eagle,2011.0,426.0,5.9,6.196929,"['Adventure', 'Drama']","{'+rome+': 0.143, '+slavery+': 0.151, 'ancient+world': 0.175, 'genreadventure': 0.067, 'genredrama': 0.039, 'roman+empire': 0.173, 'runtime_above_110': 0.049}",0.08878570148132026
26428,Agora,2009.0,404.0,6.9,8.029671,"['Adventure', 'Drama', 'History']","{'+freedom+': 0.131, '+philosopher+': 0.173, '+roman+': 0.147, '2000_to_2010': 0.05, 'ancient+world': 0.173, 'genreadventure': 0.067, 'genredrama': 0.039, 'runtime_above_110': 0.048}",0.08762906623320485
9564,Asterix & Obelix Take on Caesar,1999.0,409.0,5.9,8.150265,"['Family', 'Adventure', 'Comedy', 'Fantasy']","{'+capture+': 0.122, '+fight+': 0.092, '+roman+': 0.148, '+rome+': 0.143, 'genreadventure': 0.067, 'roman+empire': 0.173}",0.07936656820786091
